"city","district","statetin","pincode","created_at","updated_at"
"Portblair","South Andaman",35,744112,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Portblair","South Andaman",35,744102,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Portblair","South Andaman",35,744102,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Portblair","South Andaman",35,744101,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Portblair","South Andaman",35,744103,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Portblair","South Andaman",35,744101,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Port Blair","South Andaman",35,744101,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Port  Blair","South Andaman",35,744104,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rangat","North And Middle Andaman",35,744201,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Ferrargunj","South Andaman",35,744107,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Nancowrie","Nicobar",35,744302,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Carnicobar","Nicobar",35,744301,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Diglipur","North And Middle Andaman",35,744202,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Port Blair","South Andaman",35,744105,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Port Blair","South Andaman",35,744102,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Port Blair","South Andaman",35,744211,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Hut Bay","South Andaman",35,744207,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Port Blair","South Andaman",35,744103,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rangat","North And Middle Andaman",35,744209,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Nancowrie","Nicobar",35,744304,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Rangat","North And Middle Andaman",35,744203,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Mayabander","North And Middle Andaman",35,744204,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Nancowrie","Nicobar",35,744303,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Port Blair","North And Middle Andaman",35,744210,"2018-06-30 22:47:43","2018-06-30 22:47:43"
